ph,hardness,solid,chloramine,sulfate,conductivity,carbon,trihalo,turbidity,potability
,204.89,"20,791.32",7.30,368.52,564.31,10.38,86.99,2.96,0.00
3.72,129.42,"18,630.06",6.64,,592.89,15.18,56.33,4.50,0.00
8.10,224.24,"19,909.54",9.28,,418.61,16.87,66.42,3.06,0.00
8.32,214.37,"22,018.42",8.06,356.89,363.27,18.44,100.34,4.63,0.00
9.09,181.10,"17,978.99",6.55,310.14,398.41,11.56,32.00,4.08,0.00
5.58,188.31,"28,748.69",7.54,326.68,280.47,8.40,54.92,2.56,0.00
10.22,248.07,"28,749.72",7.51,393.66,283.65,13.79,84.60,2.67,0.00
8.64,203.36,"13,672.09",4.56,303.31,474.61,12.36,62.80,4.40,0.00
,118.99,"14,285.58",7.80,268.65,389.38,12.71,53.93,3.60,0.00
11.18,227.23,"25,484.51",9.08,404.04,563.89,17.93,71.98,4.37,0.00
7.36,165.52,"32,452.61",7.55,326.62,425.38,15.59,78.74,3.66,0.00
7.97,218.69,"18,767.66",8.11,,364.10,14.53,76.49,4.01,0.00
7.12,156.70,"18,730.81",3.61,282.34,347.72,15.93,79.50,3.45,0.00
,150.17,"27,331.36",6.84,299.42,379.76,19.37,76.51,4.41,0.00
7.50,205.34,"28,388.00",5.07,,444.65,13.23,70.30,4.78,0.00
6.35,186.73,"41,065.23",9.63,364.49,516.74,11.54,75.07,4.38,0.00
7.05,211.05,"30,980.60",10.09,,315.14,20.40,56.65,4.27,0.00
9.18,273.81,"24,041.33",6.90,398.35,477.97,13.39,71.46,4.50,0.00
8.98,279.36,"19,460.40",6.20,,431.44,12.89,63.82,2.44,0.00
7.37,214.50,"25,630.32",4.43,335.75,469.91,12.51,62.80,2.56,0.00
,227.44,"22,305.57",10.33,,554.82,16.33,45.38,4.13,0.00
6.66,168.28,"30,944.36",5.86,310.93,523.67,17.88,77.04,3.75,0.00
,215.98,"17,107.22",5.61,326.94,436.26,14.19,59.86,5.46,0.00
3.90,196.90,"21,167.50",7.00,,444.48,16.61,90.18,4.53,0.00
5.40,140.74,"17,266.59",10.06,328.36,472.87,11.26,56.93,4.82,0.00
6.51,198.77,"21,218.70",8.67,323.60,413.29,14.90,79.85,5.20,0.00
3.45,207.93,"33,424.77",8.78,384.01,441.79,13.81,30.28,4.18,0.00
,145.77,"13,224.94",7.91,304.00,298.99,12.73,49.54,4.00,0.00
,266.42,"26,362.97",7.70,395.39,364.48,10.35,53.01,3.99,0.00
,148.15,"15,193.41",9.05,307.01,563.80,16.57,52.68,6.04,0.00
7.18,209.63,"15,196.23",5.99,338.34,342.11,7.92,71.54,5.09,0.00
9.83,190.76,"19,677.89",6.76,,452.84,16.90,47.08,2.86,0.00
10.43,117.79,"22,326.89",8.16,307.71,412.99,12.89,65.73,5.06,0.00
7.41,235.04,"32,555.85",6.85,387.18,411.98,10.24,44.49,3.16,0.00
,232.28,"14,787.21",5.47,,383.98,12.17,86.08,5.03,0.00
5.12,191.95,"19,620.55",6.06,323.84,441.75,10.97,49.24,3.90,0.00
3.64,183.91,"24,752.07",5.54,286.06,456.86,9.03,73.59,3.46,0.00
5.62,304.24,"17,281.98",6.10,,399.47,12.27,81.59,2.90,0.00
,143.45,"19,942.27",5.89,,427.13,22.47,53.12,2.91,0.00
9.27,198.61,"24,683.72",6.11,328.08,396.88,16.47,30.38,4.32,0.00
,233.86,"11,703.92",4.60,309.04,349.40,18.34,42.68,3.51,0.00
5.33,194.87,"16,658.88",7.99,316.68,335.12,10.18,59.57,4.43,0.00
7.15,238.69,"28,780.34",6.81,385.98,332.03,11.09,66.14,5.18,0.00
9.92,202.82,"9,973.93",6.88,337.35,333.19,23.92,71.83,4.69,0.00
4.76,183.35,"21,568.43",4.73,,403.94,18.67,66.91,4.54,0.00
5.70,216.85,"35,606.44",7.18,,504.64,16.14,77.54,4.14,0.00
6.95,209.64,"10,575.19",4.46,315.61,391.18,13.29,87.39,3.20,0.00
10.68,173.38,"15,758.74",5.57,307.35,323.81,10.09,78.47,4.00,0.00
,129.89,"34,415.85",6.32,304.54,470.33,18.60,72.40,4.41,0.00
8.76,200.19,"21,536.22",4.92,317.88,404.72,13.77,47.93,3.63,0.00
,168.39,"27,492.31",7.05,299.82,383.80,16.18,75.73,3.05,0.00
7.81,100.46,"12,013.55",5.21,247.20,605.22,9.61,66.08,2.45,0.00
6.65,145.01,"19,871.79",4.96,288.05,545.97,10.94,71.73,3.74,0.00
9.15,211.71,"11,920.61",7.23,339.75,527.71,18.28,47.63,3.79,0.00
10.56,181.89,"21,783.65",6.99,340.39,456.56,16.48,34.25,3.96,0.00
7.48,260.09,"30,616.62",9.38,,404.67,15.93,66.62,4.78,0.00
8.52,238.34,"28,779.65",8.28,381.65,481.32,6.02,39.09,3.94,0.00
5.00,190.29,"24,323.87",7.23,324.89,405.33,8.24,99.43,4.46,0.00
,157.80,"16,963.63",8.34,300.04,361.00,12.82,71.72,4.41,0.00
,155.06,"20,557.24",8.19,,290.18,16.62,59.62,4.09,0.00
3.91,233.40,"32,144.80",6.99,348.36,269.45,9.65,63.74,3.90,0.00
6.39,213.02,"20,965.48",5.38,327.65,369.34,13.76,17.92,3.92,0.00
,229.49,"35,729.69",8.81,384.94,296.40,16.93,,3.86,0.00
